Email, True Label , Pred Label
email1,1,1
email2,1,1
email3,1,1
email4,1,1
email5,1,1
email6,1,1
email7,1,0
email8,1,1
email9,1,1
email10,1,1
email11,1,1
email12,1,1
email13,1,1
email14,1,0
email15,1,1
email16,1,1
email17,1,1
email18,1,1
email19,1,1
email20,1,1
email21,1,1
email22,1,1
email23,1,1
email24,1,1
email25,1,1
email26,1,1
email27,1,1
email28,1,1
email29,1,1
email30,1,1
email31,1,1
email32,1,1
email33,1,1
email34,1,1
email35,1,1
email36,1,1
email37,1,1
email38,1,1
email39,1,1
email40,1,1
email41,1,1
email42,1,1
email43,1,0
email44,1,1
email45,1,1
email46,1,1
email47,1,1
email48,1,1
email49,1,1
email50,1,0
email51,1,1
email52,1,0
email53,1,1
email54,1,1
email55,1,1
email56,1,1
email57,1,1
email58,1,1
email59,1,1
email60,1,1
email61,1,1
email62,1,1
email63,1,1
email64,1,1
email65,1,1
email66,1,1
email67,1,1
email68,1,1
email69,1,1
email70,1,1
email71,1,1
email72,1,1
email73,1,1
email74,1,1
email75,1,1
email76,1,1
email77,1,1
email78,1,1
email79,1,1
email80,1,1
email81,1,1
email82,1,1
email83,1,1
email84,1,0
email85,1,1
email86,1,1
email87,1,1
email88,1,1
email89,1,0
email90,1,1
email91,1,1
email92,1,1
email93,1,1
email94,1,1
email95,1,1
email96,1,1
email97,1,1
email98,1,1
email99,1,1
email100,1,1
email101,1,1
email102,1,1
email103,1,1
email104,1,1
email105,1,1
email106,1,1
email107,1,1
email108,1,1
email109,1,1
email110,1,1
email111,1,1
email112,1,1
email113,1,1
email114,1,1
email115,1,1
email116,1,1
email117,1,1
email118,1,1
email119,1,1
email120,1,1
email121,1,1
email122,1,1
email123,1,1
email124,1,1
email125,1,1
email126,1,1
email127,1,0
email128,1,1
email129,1,1
email130,1,1
email131,1,1
email132,1,1
email133,1,1
email134,1,1
email135,1,1
email136,1,1
email137,1,1
email138,1,1
email139,1,1
email140,1,1
email141,1,1
email142,1,1
email143,1,1
email144,1,1
email145,1,1
email146,1,1
email147,1,1
email148,1,1
email149,1,1
email150,1,1
email151,1,1
email152,1,0
email153,1,1
email154,1,1
email155,1,1
email156,1,1
email157,1,1
email158,1,1
email159,1,1
email160,1,1
email161,1,1
email162,1,1
email163,1,1
